{'PSR': 0.6948094417028361, 'utility': 0.5649774793705041, 'df_size': 0.1, 'seed': 1, 'victim_class': 7, 'target_class': 53, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7556914712878016, 'utility': 0.5516765317859171, 'df_size': 0.1, 'seed': 2, 'victim_class': 7, 'target_class': 53, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.739409123446346, 'utility': 0.5749089152685796, 'df_size': 0.1, 'seed': 3, 'victim_class': 7, 'target_class': 53, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7648821766468825, 'utility': 0.5631576876998865, 'df_size': 0.1, 'seed': 4, 'victim_class': 7, 'target_class': 53, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7220910402728584, 'utility': 0.5888689288473772, 'df_size': 0.1, 'seed': 0, 'victim_class': 7, 'target_class': 53, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.6912123194006778, 'utility': 0.5700247273665536, 'df_size': 0.1, 'seed': 1, 'victim_class': 7, 'target_class': 53, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.7556914712878016, 'utility': 0.5519068833144098, 'df_size': 0.1, 'seed': 2, 'victim_class': 7, 'target_class': 53, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.7433461313203618, 'utility': 0.5754475194653362, 'df_size': 0.1, 'seed': 3, 'victim_class': 7, 'target_class': 53, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.7424928013163308, 'utility': 0.5558644506809278, 'df_size': 0.1, 'seed': 4, 'victim_class': 7, 'target_class': 53, 'trigger_size': 100, 'dataset': 'Cora'}
{'PSR': 0.689689098780008, 'utility': 0.5791401164916611, 'df_size': 0.25, 'seed': 0, 'victim_class': 7, 'target_class': 53, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.756859756097561, 'utility': 0.5643892982574603, 'df_size': 0.1, 'seed': 0, 'victim_class': 27, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7856970740103271, 'utility': 0.57735649463823, 'df_size': 0.1, 'seed': 1, 'victim_class': 27, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7834580654228593, 'utility': 0.5516347957545833, 'df_size': 0.1, 'seed': 2, 'victim_class': 27, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.8437014600807704, 'utility': 0.5423019021004755, 'df_size': 0.1, 'seed': 3, 'victim_class': 27, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7663031129288798, 'utility': 0.5559348376689682, 'df_size': 0.1, 'seed': 4, 'victim_class': 27, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7386220769424189, 'utility': 0.5665848066692801, 'df_size': 0.1, 'seed': 0, 'victim_class': 33, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7880578919451391, 'utility': 0.5632506188953627, 'df_size': 0.1, 'seed': 1, 'victim_class': 33, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7360663818600066, 'utility': 0.5447034019892654, 'df_size': 0.1, 'seed': 2, 'victim_class': 33, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.7804063084736701, 'utility': 0.5659218706340298, 'df_size': 0.1, 'seed': 3, 'victim_class': 33, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.3567073170731707, 'utility': 0.5714389898432553, 'df_size': 0.1, 'seed': 0, 'victim_class': 68, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.39156626506024095, 'utility': 0.5652923847988022, 'df_size': 0.1, 'seed': 1, 'victim_class': 68, 'target_class': 57, 'trigger_size': 15, 'dataset': 'Cora'}
{'PSR': 0.3597560975609756, 'utility': 0.569062313660284, 'df_size': 0.1, 'seed': 0, 'victim_class': 57, 'target_class': 68, 'trigger_size': 15, 'dataset': 'Cora'}
